"#name RankReward","#unique id","#index type rewardId","#collector type","",""
"id","type","rewardId","condition","reward","tex"
"int","int","int","int","reward[]","lang"
"*","*","*","*","*","*"
"序号","类型","奖励ID","达到条件","奖励","条件描述"
"1","2","1","20000","2#20","本服<color=#c74036 >首位战力</color>达到20000的玩家"
"2","2","2","40000","2#20","本服<color=#c74036 >首位战力</color>达到40000的玩家"
"3","2","3","60000","2#20","本服<color=#c74036 >首位战力</color>达到60000的玩家"
"4","2","4","80000","2#20","本服<color=#c74036 >首位战力</color>达到80000的玩家"
"5","2","5","100000","2#20","本服<color=#c74036 >首位战力</color>达到100000的玩家"
"6","2","6","150000","2#20","本服<color=#c74036 >首位战力</color>达到150000的玩家"
"7","2","7","200000","2#20","本服<color=#c74036 >首位战力</color>达到200000的玩家"
"8","2","8","250000","2#20","本服<color=#c74036 >首位战力</color>达到250000的玩家"
"9","2","9","300000","2#20","本服<color=#c74036 >首位战力</color>达到300000的玩家"
"10","2","10","350000","2#20","本服<color=#c74036 >首位战力</color>达到350000的玩家"
"11","2","11","400000","2#20","本服<color=#c74036 >首位战力</color>达到400000的玩家"
"12","2","12","450000","2#20","本服<color=#c74036 >首位战力</color>达到450000的玩家"
"13","2","13","500000","2#20","本服<color=#c74036 >首位战力</color>达到500000的玩家"
"14","2","14","550000","2#20","本服<color=#c74036 >首位战力</color>达到550000的玩家"
"15","2","15","600000","2#20","本服<color=#c74036 >首位战力</color>达到600000的玩家"
"16","2","16","650000","2#20","本服<color=#c74036 >首位战力</color>达到650000的玩家"
"17","2","17","700000","2#20","本服<color=#c74036 >首位战力</color>达到700000的玩家"
"18","2","18","750000","2#20","本服<color=#c74036 >首位战力</color>达到750000的玩家"
"19","2","19","800000","2#20","本服<color=#c74036 >首位战力</color>达到800000的玩家"
"20","2","20","850000","2#20","本服<color=#c74036 >首位战力</color>达到850000的玩家"
"21","2","21","900000","2#20","本服<color=#c74036 >首位战力</color>达到900000的玩家"
"22","2","22","950000","2#20","本服<color=#c74036 >首位战力</color>达到950000的玩家"
"23","2","23","1000000","2#20","本服<color=#c74036 >首位战力</color>达到1000000的玩家"
"51","1","1","10","2#20","本服<color=#c74036 >首位等级</color>达到10级的玩家"
"52","1","2","15","2#20","本服<color=#c74036 >首位等级</color>达到15级的玩家"
"53","1","3","20","2#20","本服<color=#c74036 >首位等级</color>达到20级的玩家"
"54","1","4","25","2#20","本服<color=#c74036 >首位等级</color>达到25级的玩家"
"55","1","5","30","2#20","本服<color=#c74036 >首位等级</color>达到30级的玩家"
"56","1","6","35","2#20","本服<color=#c74036 >首位等级</color>达到35级的玩家"
"57","1","7","40","2#20","本服<color=#c74036 >首位等级</color>达到40级的玩家"
"58","1","8","45","2#20","本服<color=#c74036 >首位等级</color>达到45级的玩家"
"59","1","9","50","2#20","本服<color=#c74036 >首位等级</color>达到50级的玩家"
"60","1","10","55","2#20","本服<color=#c74036 >首位等级</color>达到55级的玩家"
"61","1","11","60","2#20","本服<color=#c74036 >首位等级</color>达到60级的玩家"
"62","1","12","65","2#20","本服<color=#c74036 >首位等级</color>达到65级的玩家"
"63","1","13","70","2#20","本服<color=#c74036 >首位等级</color>达到70级的玩家"
"64","1","14","75","2#20","本服<color=#c74036 >首位等级</color>达到75级的玩家"
"65","1","15","80","2#20","本服<color=#c74036 >首位等级</color>达到80级的玩家"
"66","1","16","85","2#20","本服<color=#c74036 >首位等级</color>达到85级的玩家"
"67","1","17","90","2#20","本服<color=#c74036 >首位等级</color>达到90级的玩家"
"68","1","18","95","2#20","本服<color=#c74036 >首位等级</color>达到95级的玩家"
"69","1","19","100","2#20","本服<color=#c74036 >首位等级</color>达到100级的玩家"
"101","3","1","20000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到20000的玩家"
"102","3","2","40000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到40000的玩家"
"103","3","3","60000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到60000的玩家"
"104","3","4","80000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到80000的玩家"
"105","3","5","100000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到100000的玩家"
"106","3","6","150000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到150000的玩家"
"107","3","7","200000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到200000的玩家"
"108","3","8","250000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到250000的玩家"
"109","3","9","300000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到300000的玩家"
"110","3","10","350000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到350000的玩家"
"111","3","11","400000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到400000的玩家"
"112","3","12","450000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到450000的玩家"
"113","3","13","500000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到500000的玩家"
"114","3","14","550000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到550000的玩家"
"115","3","15","600000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到600000的玩家"
"116","3","16","650000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到650000的玩家"
"117","3","17","700000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到700000的玩家"
"118","3","18","750000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到750000的玩家"
"119","3","19","800000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到800000的玩家"
"120","3","20","850000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到850000的玩家"
"121","3","21","900000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到900000的玩家"
"122","3","22","950000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到950000的玩家"
"123","3","23","1000000","2#20","本服<color=#c74036 >首位伙伴战力</color>达到1000000的玩家"
"151","4","1","20000","2#20","本服<color=#c74036 >首位装备战力</color>达到20000的玩家"
"152","4","2","40000","2#20","本服<color=#c74036 >首位装备战力</color>达到40000的玩家"
"153","4","3","60000","2#20","本服<color=#c74036 >首位装备战力</color>达到60000的玩家"
"154","4","4","80000","2#20","本服<color=#c74036 >首位装备战力</color>达到80000的玩家"
"155","4","5","100000","2#20","本服<color=#c74036 >首位装备战力</color>达到100000的玩家"
"156","4","6","150000","2#20","本服<color=#c74036 >首位装备战力</color>达到150000的玩家"
"157","4","7","200000","2#20","本服<color=#c74036 >首位装备战力</color>达到200000的玩家"
"158","4","8","250000","2#20","本服<color=#c74036 >首位装备战力</color>达到250000的玩家"
"159","4","9","300000","2#20","本服<color=#c74036 >首位装备战力</color>达到300000的玩家"
"160","4","10","350000","2#20","本服<color=#c74036 >首位装备战力</color>达到350000的玩家"
"161","4","11","400000","2#20","本服<color=#c74036 >首位装备战力</color>达到400000的玩家"
"162","4","12","450000","2#20","本服<color=#c74036 >首位装备战力</color>达到450000的玩家"
"163","4","13","500000","2#20","本服<color=#c74036 >首位装备战力</color>达到500000的玩家"
"164","4","14","550000","2#20","本服<color=#c74036 >首位装备战力</color>达到550000的玩家"
"165","4","15","600000","2#20","本服<color=#c74036 >首位装备战力</color>达到600000的玩家"
"166","4","16","650000","2#20","本服<color=#c74036 >首位装备战力</color>达到650000的玩家"
"167","4","17","700000","2#20","本服<color=#c74036 >首位装备战力</color>达到700000的玩家"
"168","4","18","750000","2#20","本服<color=#c74036 >首位装备战力</color>达到750000的玩家"
"169","4","19","800000","2#20","本服<color=#c74036 >首位装备战力</color>达到800000的玩家"
"170","4","20","850000","2#20","本服<color=#c74036 >首位装备战力</color>达到850000的玩家"
"171","4","21","900000","2#20","本服<color=#c74036 >首位装备战力</color>达到900000的玩家"
"172","4","22","950000","2#20","本服<color=#c74036 >首位装备战力</color>达到950000的玩家"
"173","4","23","1000000","2#20","本服<color=#c74036 >首位装备战力</color>达到1000000的玩家"
"201","7","1","11","2#20","本服<color=#c74036 >首位通关</color>2-1章节的玩家"
"202","7","2","18","2#20","本服<color=#c74036 >首位通关</color>3-1章节的玩家"
"203","7","3","30","2#20","本服<color=#c74036 >首位通关</color>4-1章节的玩家"
"204","7","4","38","2#20","本服<color=#c74036 >首位通关</color>5-1章节的玩家"
"205","7","5","50","2#20","本服<color=#c74036 >首位通关</color>6-1章节的玩家"
"206","7","6","59","2#20","本服<color=#c74036 >首位通关</color>7-1章节的玩家"
"207","7","7","69","2#20","本服<color=#c74036 >首位通关</color>8-1章节的玩家"
"208","7","8","79","2#20","本服<color=#c74036 >首位通关</color>9-1章节的玩家"
"209","7","9","88","2#20","本服<color=#c74036 >首位通关</color>10-1章节的玩家"
